,#term ID,term description,observed gene count,background gene count,strength,false discovery rate,matching proteins in your network (IDs),matching proteins in your network (labels)
27,GO:0048468,Cell development,48,1719,0.36,3e-05,"9606.ENSP00000215957,9606.ENSP00000222399,9606.ENSP00000232424,9606.ENSP00000239243,9606.ENSP00000257566,9606.ENSP00000261918,9606.ENSP00000262613,9606.ENSP00000264059,9606.ENSP00000264731,9606.ENSP00000265734,9606.ENSP00000279022,9606.ENSP00000296861,9606.ENSP00000316779,9606.ENSP00000327145,9606.ENSP00000332118,9606.ENSP00000334008,9606.ENSP00000341170,9606.ENSP00000347454,9606.ENSP00000347532,9606.ENSP00000351338,9606.ENSP00000352208,9606.ENSP00000353007,9606.ENSP00000355124,9606.ENSP00000356581,9606.ENSP00000358765,9606.ENSP00000366070,9606.ENSP00000367817,9606.ENSP00000368632,9606.ENSP00000368678,9606.ENSP00000373937,9606.ENSP00000374309,9606.ENSP00000379330,9606.ENSP00000383053,9606.ENSP00000385478,9606.ENSP00000386096,9606.ENSP00000386881,9606.ENSP00000399511,9606.ENSP00000405004,9606.ENSP00000425556,9606.ENSP00000427514,9606.ENSP00000428924,9606.ENSP00000451261,9606.ENSP00000455507,9606.ENSP00000478927,9606.ENSP00000486285,9606.ENSP00000493716,9606.ENSP00000495564,9606.ENSP00000497112","MICALL1,LAMB1,HES1,MSX2,TBX3,SEMA7A,SLC9A3R1,EFHD1,TP63,CDK6,MYL9,TNFRSF21,BIN1,FLNC,EPHB3,PARVA,PTN,ANO1,SHTN1,PLXNB1,MYOF,SULF2,KRT19,ADGRG6,TPBG,RILPL1,PODXL,GATA3,AGRN,PRTG,LAMA1,NFATC2,EPHB2,CRPPA,MYO18B,DYSF,TNIK,ACVR1,PALLD,CEBPA,LYN,UBE2J1,OBSCN,YAP1,FARP1,EFNB2,GRHL2,HOXA13"
28,GO:0003206,Cardiac chamber morphogenesis,12,124,0.9,4.27e-05,"9606.ENSP00000070846,9606.ENSP00000231121,9606.ENSP00000232424,9606.ENSP00000239243,9606.ENSP00000257566,9606.ENSP00000325526,9606.ENSP00000334008,9606.ENSP00000356581,9606.ENSP00000368632,9606.ENSP00000392028,9606.ENSP00000405004,9606.ENSP00000495564","PKP2,HAND1,HES1,MSX2,TBX3,WNT11,PARVA,ADGRG6,GATA3,CHD7,ACVR1,GRHL2"
29,GO:0016477,Cell migration,32,903,0.47,4.27e-05,"9606.ENSP00000222399,9606.ENSP00000232424,9606.ENSP00000239243,9606.ENSP00000256015,9606.ENSP00000260356,9606.ENSP00000261918,9606.ENSP00000262613,9606.ENSP00000275493,9606.ENSP00000296585,9606.ENSP00000301653,9606.ENSP00000325526,9606.ENSP00000329219,9606.ENSP00000332118,9606.ENSP00000334008,9606.ENSP00000341170,9606.ENSP00000347532,9606.ENSP00000351338,9606.ENSP00000351602,9606.ENSP00000358765,9606.ENSP00000366109,9606.ENSP00000367817,9606.ENSP00000368632,9606.ENSP00000377721,9606.ENSP00000379330,9606.ENSP00000383053,9606.ENSP00000385616,9606.ENSP00000405004,9606.ENSP00000419446,9606.ENSP00000425556,9606.ENSP00000428924,9606.ENSP00000455215,9606.ENSP00000493716","LAMB1,HES1,MSX2,BTG1,THBS1,SEMA7A,SLC9A3R1,EGFR,ITGA2,KRT16,WNT11,FMNL1,EPHB3,PARVA,PTN,SHTN1,PLXNB1,FUT4,TPBG,ANXA1,PODXL,GATA3,NR2F2,NFATC2,EPHB2,SUN2,ACVR1,ADAM9,PALLD,LYN,ADGRG1,EFNB2"
30,GO:0048514,Blood vessel morphogenesis,21,419,0.62,4.27e-05,"9606.ENSP00000231121,9606.ENSP00000232424,9606.ENSP00000260356,9606.ENSP00000296522,9606.ENSP00000300060,9606.ENSP00000307900,9606.ENSP00000325526,9606.ENSP00000332118,9606.ENSP00000334008,9606.ENSP00000354826,9606.ENSP00000363827,9606.ENSP00000374309,9606.ENSP00000377721,9606.ENSP00000383053,9606.ENSP00000386096,9606.ENSP00000392028,9606.ENSP00000405004,9606.ENSP00000455215,9606.ENSP00000478927,9606.ENSP00000493716,9606.ENSP00000497112","HAND1,HES1,THBS1,HPGD,ANPEP,GLUL,WNT11,EPHB3,PARVA,CALD1,HSPG2,LAMA1,NR2F2,EPHB2,MYO18B,CHD7,ACVR1,ADGRG1,YAP1,EFNB2,HOXA13"
31,GO:0061061,Muscle structure development,23,498,0.58,4.27e-05,"9606.ENSP00000070846,9606.ENSP00000231121,9606.ENSP00000232424,9606.ENSP00000257566,9606.ENSP00000279022,9606.ENSP00000295006,9606.ENSP00000316779,9606.ENSP00000327145,9606.ENSP00000352208,9606.ENSP00000355124,9606.ENSP00000356515,9606.ENSP00000363377,9606.ENSP00000376678,9606.ENSP00000377721,9606.ENSP00000379330,9606.ENSP00000386096,9606.ENSP00000386881,9606.ENSP00000392028,9606.ENSP00000405004,9606.ENSP00000455507,9606.ENSP00000479526,9606.ENSP00000484398,9606.ENSP00000486891","PKP2,HAND1,HES1,TBX3,MYL9,CAPN2,BIN1,FLNC,MYOF,KRT19,UTRN,FOXO4,TAGLN,NR2F2,NFATC2,MYO18B,DYSF,CHD7,ACVR1,OBSCN,DPF3,SMTN,TCF7L2"
32,GO:0072359,Circulatory system development,32,901,0.47,4.27e-05,"9606.ENSP00000070846,9606.ENSP00000225964,9606.ENSP00000231121,9606.ENSP00000232424,9606.ENSP00000239243,9606.ENSP00000256194,9606.ENSP00000257566,9606.ENSP00000260356,9606.ENSP00000296522,9606.ENSP00000300060,9606.ENSP00000307900,9606.ENSP00000325526,9606.ENSP00000332118,9606.ENSP00000334008,9606.ENSP00000354826,9606.ENSP00000356581,9606.ENSP00000363827,9606.ENSP00000368632,9606.ENSP00000370408,9606.ENSP00000374309,9606.ENSP00000377721,9606.ENSP00000383053,9606.ENSP00000386096,9606.ENSP00000392028,9606.ENSP00000405004,9606.ENSP00000455215,9606.ENSP00000464162,9606.ENSP00000478927,9606.ENSP00000486891,9606.ENSP00000493716,9606.ENSP00000495564,9606.ENSP00000497112","PKP2,COL1A1,HAND1,HES1,MSX2,MICAL2,TBX3,THBS1,HPGD,ANPEP,GLUL,WNT11,EPHB3,PARVA,CALD1,ADGRG6,HSPG2,GATA3,CDX2,LAMA1,NR2F2,EPHB2,MYO18B,CHD7,ACVR1,ADGRG1,GREB1L,YAP1,TCF7L2,EFNB2,GRHL2,HOXA13"
33,GO:0016043,Cellular component organization,103,5436,0.19,0.0001,"9606.ENSP00000070846,9606.ENSP00000215957,9606.ENSP00000220325,9606.ENSP00000222399,9606.ENSP00000225964,9606.ENSP00000232424,9606.ENSP00000249014,9606.ENSP00000256194,9606.ENSP00000260356,9606.ENSP00000261918,9606.ENSP00000262613,9606.ENSP00000264059,9606.ENSP00000264731,9606.ENSP00000265978,9606.ENSP00000275493,9606.ENSP00000279022,9606.ENSP00000296585,9606.ENSP00000296861,9606.ENSP00000299339,9606.ENSP00000300245,9606.ENSP00000301336,9606.ENSP00000301653,9606.ENSP00000304032,9606.ENSP00000313391,9606.ENSP00000316779,9606.ENSP00000320688,9606.ENSP00000321346,9606.ENSP00000322373,9606.ENSP00000324693,9606.ENSP00000325526,9606.ENSP00000327145,9606.ENSP00000329219,9606.ENSP00000329243,9606.ENSP00000332118,9606.ENSP00000334008,9606.ENSP00000336923,9606.ENSP00000341170,9606.ENSP00000347454,9606.ENSP00000347532,9606.ENSP00000349351,9606.ENSP00000351338,9606.ENSP00000351742,9606.ENSP00000352208,9606.ENSP00000353007,9606.ENSP00000354826,9606.ENSP00000355124,9606.ENSP00000355330,9606.ENSP00000356465,9606.ENSP00000356515,9606.ENSP00000357131,9606.ENSP00000358765,9606.ENSP00000360108,9606.ENSP00000360316,9606.ENSP00000362924,9606.ENSP00000366070,9606.ENSP00000366109,9606.ENSP00000368632,9606.ENSP00000368678,9606.ENSP00000369681,9606.ENSP00000373489,9606.ENSP00000373937,9606.ENSP00000373964,9606.ENSP00000374309,9606.ENSP00000374377,9606.ENSP00000374490,9606.ENSP00000376330,9606.ENSP00000376333,9606.ENSP00000381382,9606.ENSP00000383053,9606.ENSP00000383115,9606.ENSP00000385478,9606.ENSP00000385616,9606.ENSP00000385727,9606.ENSP00000386096,9606.ENSP00000386456,9606.ENSP00000386881,9606.ENSP00000389326,9606.ENSP00000392028,9606.ENSP00000399511,9606.ENSP00000422176,9606.ENSP00000423563,9606.ENSP00000425556,9606.ENSP00000427514,9606.ENSP00000428924,9606.ENSP00000432568,9606.ENSP00000440273,9606.ENSP00000449404,9606.ENSP00000455507,9606.ENSP00000478061,9606.ENSP00000478927,9606.ENSP00000479526,9606.ENSP00000480221,9606.ENSP00000484398,9606.ENSP00000486285,9606.ENSP00000486891,9606.ENSP00000487363,9606.ENSP00000491257,9606.ENSP00000493716,9606.ENSP00000495564,9606.ENSP00000496438,9606.ENSP00000497112,9606.ENSP00000497351,9606.ENSP00000499251","PKP2,MICALL1,EHD4,LAMB1,COL1A1,HES1,CDC42EP1,MICAL2,THBS1,SEMA7A,SLC9A3R1,EFHD1,TP63,FAM160A2,EGFR,MYL9,ITGA2,TNFRSF21,CLDN10,AKTIP,RILP,KRT16,STARD5,DAB2,BIN1,SLC25A36,TTLL11,PLEKHF2,GRHL1,WNT11,FLNC,FMNL1,KRT7,EPHB3,PARVA,ARHGAP10,PTN,ANO1,SHTN1,BICD2,PLXNB1,TFEB,MYOF,SULF2,CALD1,KRT19,TGM2,RAB32,UTRN,ARHGAP18,TPBG,DNAJC6,DHCR24,GSN,RILPL1,ANXA1,GATA3,AGRN,USP3,KRT18,PRTG,SMTNL2,LAMA1,RFLNA,DNAH17,WIPF1,LLGL2,TCF4,EPHB2,COLEC12,CRPPA,SUN2,MAST4,MYO18B,AAK1,DYSF,ACE2,CHD7,TNIK,CAST,MACROH2A1,PALLD,CEBPA,LYN,SPTBN2,SH2B2,KRT8,OBSCN,MARCKS,YAP1,DPF3,ANXA8L1,SMTN,FARP1,TCF7L2,HAVCR1,FIGNL2,EFNB2,GRHL2,S1PR2,HOXA13,GAN,NUAK2"
34,GO:0032501,Multicellular organismal process,117,6490,0.17,0.00011,"9606.ENSP00000004531,9606.ENSP00000070846,9606.ENSP00000075120,9606.ENSP00000160373,9606.ENSP00000199389,9606.ENSP00000215957,9606.ENSP00000217131,9606.ENSP00000222399,9606.ENSP00000225929,9606.ENSP00000225964,9606.ENSP00000231121,9606.ENSP00000232424,9606.ENSP00000239165,9606.ENSP00000239243,9606.ENSP00000243056,9606.ENSP00000256194,9606.ENSP00000257552,9606.ENSP00000257566,9606.ENSP00000260356,9606.ENSP00000261918,9606.ENSP00000262613,9606.ENSP00000264059,9606.ENSP00000264731,9606.ENSP00000265734,9606.ENSP00000274341,9606.ENSP00000275493,9606.ENSP00000279022,9606.ENSP00000288955,9606.ENSP00000295006,9606.ENSP00000296522,9606.ENSP00000296585,9606.ENSP00000296861,9606.ENSP00000297258,9606.ENSP00000297689,9606.ENSP00000300060,9606.ENSP00000301653,9606.ENSP00000307900,9606.ENSP00000308122,9606.ENSP00000316779,9606.ENSP00000316905,9606.ENSP00000320378,9606.ENSP00000324693,9606.ENSP00000325526,9606.ENSP00000329243,9606.ENSP00000332118,9606.ENSP00000333350,9606.ENSP00000334008,9606.ENSP00000341170,9606.ENSP00000342385,9606.ENSP00000346809,9606.ENSP00000347454,9606.ENSP00000347532,9606.ENSP00000348931,9606.ENSP00000351338,9606.ENSP00000351742,9606.ENSP00000352208,9606.ENSP00000353007,9606.ENSP00000354826,9606.ENSP00000355124,9606.ENSP00000355330,9606.ENSP00000356515,9606.ENSP00000356581,9606.ENSP00000358421,9606.ENSP00000358765,9606.ENSP00000360316,9606.ENSP00000362924,9606.ENSP00000363117,9606.ENSP00000363827,9606.ENSP00000366109,9606.ENSP00000367817,9606.ENSP00000368632,9606.ENSP00000368678,9606.ENSP00000370408,9606.ENSP00000373937,9606.ENSP00000373964,9606.ENSP00000374309,9606.ENSP00000374377,9606.ENSP00000377721,9606.ENSP00000381382,9606.ENSP00000383053,9606.ENSP00000385478,9606.ENSP00000385616,9606.ENSP00000386096,9606.ENSP00000389326,9606.ENSP00000392028,9606.ENSP00000399511,9606.ENSP00000402760,9606.ENSP00000405004,9606.ENSP00000405577,9606.ENSP00000420267,9606.ENSP00000424544,9606.ENSP00000425556,9606.ENSP00000425824,9606.ENSP00000427123,9606.ENSP00000427514,9606.ENSP00000428924,9606.ENSP00000432568,9606.ENSP00000435585,9606.ENSP00000440273,9606.ENSP00000445122,9606.ENSP00000449404,9606.ENSP00000451261,9606.ENSP00000455215,9606.ENSP00000464162,9606.ENSP00000478061,9606.ENSP00000478927,9606.ENSP00000479526,9606.ENSP00000482760,9606.ENSP00000484398,9606.ENSP00000486285,9606.ENSP00000486891,9606.ENSP00000493716,9606.ENSP00000495564,9606.ENSP00000496438,9606.ENSP00000497112,9606.ENSP00000498246,9606.ENSP00000501092","SLC7A2,PKP2,SLC2A3,CTTNBP2,EIF2AK1,MICALL1,CTSZ,LAMB1,HSD17B1,COL1A1,HAND1,HES1,HOXB7,MSX2,HOXC13,MICAL2,MSI1,TBX3,THBS1,SEMA7A,SLC9A3R1,EFHD1,TP63,CDK6,HAPLN1,EGFR,MYL9,GRHL3,CAPN2,HPGD,ITGA2,TNFRSF21,FABP5,NFIL3,ANPEP,KRT16,GLUL,ATP6V0A4,BIN1,SFXN1,SLC7A8,GRHL1,WNT11,KRT7,EPHB3,JRKL,PARVA,PTN,PTGES,PGAP1,ANO1,SHTN1,FABP7,PLXNB1,TFEB,MYOF,SULF2,CALD1,KRT19,TGM2,UTRN,ADGRG6,HSD3B1,TPBG,DHCR24,GSN,FGR,HSPG2,ANXA1,PODXL,GATA3,AGRN,CDX2,PRTG,SMTNL2,LAMA1,RFLNA,NR2F2,TCF4,EPHB2,CRPPA,SUN2,MYO18B,ACE2,CHD7,TNIK,SLC22A5,ACVR1,CLMP,NR6A1,TUSC3,PALLD,CAMK2D,RAI14,CEBPA,LYN,SPTBN2,EPS8L2,SH2B2,HSD3B2,KRT8,UBE2J1,ADGRG1,GREB1L,MARCKS,YAP1,DPF3,PCSK6,SMTN,FARP1,TCF7L2,EFNB2,GRHL2,S1PR2,HOXA13,ABCG2,TFAP2A"
35,GO:0008285,Negative regulation of cell population proliferation,27,713,0.49,0.00012,"9606.ENSP00000199389,9606.ENSP00000232424,9606.ENSP00000239243,9606.ENSP00000256015,9606.ENSP00000257566,9606.ENSP00000260356,9606.ENSP00000262613,9606.ENSP00000265734,9606.ENSP00000296861,9606.ENSP00000313391,9606.ENSP00000325526,9606.ENSP00000341170,9606.ENSP00000342385,9606.ENSP00000348931,9606.ENSP00000351338,9606.ENSP00000358765,9606.ENSP00000360316,9606.ENSP00000363377,9606.ENSP00000368632,9606.ENSP00000377721,9606.ENSP00000389326,9606.ENSP00000427514,9606.ENSP00000428924,9606.ENSP00000455215,9606.ENSP00000493716,9606.ENSP00000496438,9606.ENSP00000501092","EIF2AK1,HES1,MSX2,BTG1,TBX3,THBS1,SLC9A3R1,CDK6,TNFRSF21,DAB2,WNT11,PTN,PTGES,FABP7,PLXNB1,TPBG,DHCR24,FOXO4,GATA3,NR2F2,ACE2,CEBPA,LYN,ADGRG1,EFNB2,S1PR2,TFAP2A"
36,GO:0048568,Embryonic organ development,21,454,0.58,0.00012,"9606.ENSP00000231121,9606.ENSP00000232424,9606.ENSP00000239165,9606.ENSP00000256194,9606.ENSP00000257566,9606.ENSP00000262613,9606.ENSP00000275493,9606.ENSP00000288955,9606.ENSP00000325526,9606.ENSP00000351742,9606.ENSP00000355124,9606.ENSP00000368632,9606.ENSP00000370408,9606.ENSP00000377721,9606.ENSP00000383053,9606.ENSP00000392028,9606.ENSP00000405004,9606.ENSP00000427514,9606.ENSP00000478927,9606.ENSP00000495564,9606.ENSP00000501092","HAND1,HES1,HOXB7,MICAL2,TBX3,SLC9A3R1,EGFR,GRHL3,WNT11,TFEB,KRT19,GATA3,CDX2,NR2F2,EPHB2,CHD7,ACVR1,CEBPA,YAP1,GRHL2,TFAP2A"
37,GO:0007399,Nervous system development,54,2188,0.31,0.00015,"9606.ENSP00000160373,9606.ENSP00000215957,9606.ENSP00000222399,9606.ENSP00000232424,9606.ENSP00000257552,9606.ENSP00000257566,9606.ENSP00000261918,9606.ENSP00000262613,9606.ENSP00000264059,9606.ENSP00000264731,9606.ENSP00000265734,9606.ENSP00000274341,9606.ENSP00000275493,9606.ENSP00000288955,9606.ENSP00000296861,9606.ENSP00000325526,9606.ENSP00000332118,9606.ENSP00000333350,9606.ENSP00000341170,9606.ENSP00000346809,9606.ENSP00000347454,9606.ENSP00000347532,9606.ENSP00000348931,9606.ENSP00000351338,9606.ENSP00000353007,9606.ENSP00000356581,9606.ENSP00000358421,9606.ENSP00000358765,9606.ENSP00000362924,9606.ENSP00000363827,9606.ENSP00000366109,9606.ENSP00000368632,9606.ENSP00000368678,9606.ENSP00000373937,9606.ENSP00000374309,9606.ENSP00000377721,9606.ENSP00000381382,9606.ENSP00000383053,9606.ENSP00000385478,9606.ENSP00000385616,9606.ENSP00000392028,9606.ENSP00000399511,9606.ENSP00000425556,9606.ENSP00000428924,9606.ENSP00000432568,9606.ENSP00000440273,9606.ENSP00000445122,9606.ENSP00000455215,9606.ENSP00000478061,9606.ENSP00000479526,9606.ENSP00000486285,9606.ENSP00000493716,9606.ENSP00000495564,9606.ENSP00000501092","CTTNBP2,MICALL1,LAMB1,HES1,MSI1,TBX3,SEMA7A,SLC9A3R1,EFHD1,TP63,CDK6,HAPLN1,EGFR,GRHL3,TNFRSF21,WNT11,EPHB3,JRKL,PTN,PGAP1,ANO1,SHTN1,FABP7,PLXNB1,SULF2,ADGRG6,HSD3B1,TPBG,GSN,HSPG2,ANXA1,GATA3,AGRN,PRTG,LAMA1,NR2F2,TCF4,EPHB2,CRPPA,SUN2,CHD7,TNIK,PALLD,LYN,SPTBN2,SH2B2,HSD3B2,ADGRG1,MARCKS,DPF3,FARP1,EFNB2,GRHL2,TFAP2A"
38,GO:2000026,Regulation of multicellular organismal development,40,1389,0.38,0.00016,"9606.ENSP00000232424,9606.ENSP00000239243,9606.ENSP00000247225,9606.ENSP00000256015,9606.ENSP00000257566,9606.ENSP00000260356,9606.ENSP00000261918,9606.ENSP00000264731,9606.ENSP00000265734,9606.ENSP00000279488,9606.ENSP00000296861,9606.ENSP00000307900,9606.ENSP00000316779,9606.ENSP00000324693,9606.ENSP00000325526,9606.ENSP00000332118,9606.ENSP00000341170,9606.ENSP00000347532,9606.ENSP00000351338,9606.ENSP00000355330,9606.ENSP00000358765,9606.ENSP00000363377,9606.ENSP00000363827,9606.ENSP00000364526,9606.ENSP00000366109,9606.ENSP00000368632,9606.ENSP00000368678,9606.ENSP00000373937,9606.ENSP00000374309,9606.ENSP00000374377,9606.ENSP00000383053,9606.ENSP00000392028,9606.ENSP00000405004,9606.ENSP00000423563,9606.ENSP00000427514,9606.ENSP00000428924,9606.ENSP00000478927,9606.ENSP00000495564,9606.ENSP00000496438,9606.ENSP00000501092","HES1,MSX2,SGPP1,BTG1,TBX3,THBS1,SEMA7A,TP63,CDK6,DUSP6,TNFRSF21,GLUL,BIN1,GRHL1,WNT11,EPHB3,PTN,SHTN1,PLXNB1,TGM2,TPBG,FOXO4,HSPG2,JCAD,ANXA1,GATA3,AGRN,PRTG,LAMA1,RFLNA,EPHB2,CHD7,ACVR1,MACROH2A1,CEBPA,LYN,YAP1,GRHL2,S1PR2,TFAP2A"
39,GO:0030856,Regulation of epithelial cell differentiation,12,149,0.82,0.00022,"9606.ENSP00000232424,9606.ENSP00000239243,9606.ENSP00000247225,9606.ENSP00000256015,9606.ENSP00000257566,9606.ENSP00000264731,9606.ENSP00000324693,9606.ENSP00000368632,9606.ENSP00000423563,9606.ENSP00000478927,9606.ENSP00000495564,9606.ENSP00000496438","HES1,MSX2,SGPP1,BTG1,TBX3,TP63,GRHL1,GATA3,MACROH2A1,YAP1,GRHL2,S1PR2"
40,GO:0045595,Regulation of cell differentiation,43,1582,0.35,0.00024,"9606.ENSP00000070846,9606.ENSP00000222399,9606.ENSP00000225964,9606.ENSP00000232424,9606.ENSP00000239243,9606.ENSP00000247225,9606.ENSP00000256015,9606.ENSP00000257566,9606.ENSP00000261918,9606.ENSP00000264731,9606.ENSP00000265734,9606.ENSP00000275493,9606.ENSP00000296861,9606.ENSP00000313391,9606.ENSP00000316779,9606.ENSP00000322229,9606.ENSP00000324693,9606.ENSP00000341170,9606.ENSP00000347532,9606.ENSP00000351338,9606.ENSP00000355330,9606.ENSP00000363377,9606.ENSP00000366109,9606.ENSP00000368632,9606.ENSP00000370408,9606.ENSP00000373937,9606.ENSP00000374309,9606.ENSP00000374377,9606.ENSP00000379330,9606.ENSP00000381382,9606.ENSP00000383053,9606.ENSP00000392028,9606.ENSP00000405004,9606.ENSP00000423563,9606.ENSP00000427514,9606.ENSP00000428924,9606.ENSP00000478927,9606.ENSP00000479526,9606.ENSP00000486891,9606.ENSP00000493716,9606.ENSP00000495564,9606.ENSP00000496438,9606.ENSP00000501092","PKP2,LAMB1,COL1A1,HES1,MSX2,SGPP1,BTG1,TBX3,SEMA7A,TP63,CDK6,EGFR,TNFRSF21,DAB2,BIN1,FADS1,GRHL1,PTN,SHTN1,PLXNB1,TGM2,FOXO4,ANXA1,GATA3,CDX2,PRTG,LAMA1,RFLNA,NFATC2,TCF4,EPHB2,CHD7,ACVR1,MACROH2A1,CEBPA,LYN,YAP1,DPF3,TCF7L2,EFNB2,GRHL2,S1PR2,TFAP2A"
41,GO:0009790,Embryo development,33,1049,0.41,0.00028,"9606.ENSP00000222399,9606.ENSP00000225964,9606.ENSP00000231121,9606.ENSP00000232424,9606.ENSP00000239165,9606.ENSP00000239243,9606.ENSP00000256194,9606.ENSP00000257566,9606.ENSP00000262613,9606.ENSP00000264731,9606.ENSP00000275493,9606.ENSP00000288955,9606.ENSP00000295006,9606.ENSP00000296585,9606.ENSP00000325526,9606.ENSP00000346809,9606.ENSP00000351742,9606.ENSP00000353007,9606.ENSP00000355124,9606.ENSP00000368632,9606.ENSP00000370408,9606.ENSP00000377721,9606.ENSP00000383053,9606.ENSP00000386096,9606.ENSP00000392028,9606.ENSP00000405004,9606.ENSP00000427514,9606.ENSP00000478061,9606.ENSP00000478927,9606.ENSP00000482760,9606.ENSP00000495564,9606.ENSP00000497112,9606.ENSP00000501092","LAMB1,COL1A1,HAND1,HES1,HOXB7,MSX2,MICAL2,TBX3,SLC9A3R1,TP63,EGFR,GRHL3,CAPN2,ITGA2,WNT11,PGAP1,TFEB,SULF2,KRT19,GATA3,CDX2,NR2F2,EPHB2,MYO18B,CHD7,ACVR1,CEBPA,MARCKS,YAP1,PCSK6,GRHL2,HOXA13,TFAP2A"
42,GO:0040017,Positive regulation of locomotion,23,570,0.52,0.00028,"9606.ENSP00000222399,9606.ENSP00000225964,9606.ENSP00000260356,9606.ENSP00000261918,9606.ENSP00000275493,9606.ENSP00000296585,9606.ENSP00000313391,9606.ENSP00000325526,9606.ENSP00000341170,9606.ENSP00000347532,9606.ENSP00000351602,9606.ENSP00000358765,9606.ENSP00000363117,9606.ENSP00000363377,9606.ENSP00000364526,9606.ENSP00000366109,9606.ENSP00000367817,9606.ENSP00000368632,9606.ENSP00000383053,9606.ENSP00000385616,9606.ENSP00000405004,9606.ENSP00000419446,9606.ENSP00000428924","LAMB1,COL1A1,THBS1,SEMA7A,EGFR,ITGA2,DAB2,WNT11,PTN,SHTN1,FUT4,TPBG,FGR,FOXO4,JCAD,ANXA1,PODXL,GATA3,EPHB2,SUN2,ACVR1,ADAM9,LYN"
43,GO:0071840,Cellular component organization or biogenesis,104,5639,0.18,0.00028,"9606.ENSP00000070846,9606.ENSP00000215957,9606.ENSP00000220325,9606.ENSP00000222399,9606.ENSP00000225964,9606.ENSP00000232424,9606.ENSP00000249014,9606.ENSP00000256194,9606.ENSP00000260356,9606.ENSP00000261918,9606.ENSP00000262613,9606.ENSP00000264059,9606.ENSP00000264731,9606.ENSP00000265978,9606.ENSP00000275493,9606.ENSP00000279022,9606.ENSP00000296585,9606.ENSP00000296861,9606.ENSP00000299339,9606.ENSP00000300245,9606.ENSP00000301336,9606.ENSP00000301653,9606.ENSP00000304032,9606.ENSP00000307900,9606.ENSP00000313391,9606.ENSP00000316779,9606.ENSP00000320688,9606.ENSP00000321346,9606.ENSP00000322373,9606.ENSP00000324693,9606.ENSP00000325526,9606.ENSP00000327145,9606.ENSP00000329219,9606.ENSP00000329243,9606.ENSP00000332118,9606.ENSP00000334008,9606.ENSP00000336923,9606.ENSP00000341170,9606.ENSP00000347454,9606.ENSP00000347532,9606.ENSP00000349351,9606.ENSP00000351338,9606.ENSP00000351742,9606.ENSP00000352208,9606.ENSP00000353007,9606.ENSP00000354826,9606.ENSP00000355124,9606.ENSP00000355330,9606.ENSP00000356465,9606.ENSP00000356515,9606.ENSP00000357131,9606.ENSP00000358765,9606.ENSP00000360108,9606.ENSP00000360316,9606.ENSP00000362924,9606.ENSP00000366070,9606.ENSP00000366109,9606.ENSP00000368632,9606.ENSP00000368678,9606.ENSP00000369681,9606.ENSP00000373489,9606.ENSP00000373937,9606.ENSP00000373964,9606.ENSP00000374309,9606.ENSP00000374377,9606.ENSP00000374490,9606.ENSP00000376330,9606.ENSP00000376333,9606.ENSP00000381382,9606.ENSP00000383053,9606.ENSP00000383115,9606.ENSP00000385478,9606.ENSP00000385616,9606.ENSP00000385727,9606.ENSP00000386096,9606.ENSP00000386456,9606.ENSP00000386881,9606.ENSP00000389326,9606.ENSP00000392028,9606.ENSP00000399511,9606.ENSP00000422176,9606.ENSP00000423563,9606.ENSP00000425556,9606.ENSP00000427514,9606.ENSP00000428924,9606.ENSP00000432568,9606.ENSP00000440273,9606.ENSP00000449404,9606.ENSP00000455507,9606.ENSP00000478061,9606.ENSP00000478927,9606.ENSP00000479526,9606.ENSP00000480221,9606.ENSP00000484398,9606.ENSP00000486285,9606.ENSP00000486891,9606.ENSP00000487363,9606.ENSP00000491257,9606.ENSP00000493716,9606.ENSP00000495564,9606.ENSP00000496438,9606.ENSP00000497112,9606.ENSP00000497351,9606.ENSP00000499251","PKP2,MICALL1,EHD4,LAMB1,COL1A1,HES1,CDC42EP1,MICAL2,THBS1,SEMA7A,SLC9A3R1,EFHD1,TP63,FAM160A2,EGFR,MYL9,ITGA2,TNFRSF21,CLDN10,AKTIP,RILP,KRT16,STARD5,GLUL,DAB2,BIN1,SLC25A36,TTLL11,PLEKHF2,GRHL1,WNT11,FLNC,FMNL1,KRT7,EPHB3,PARVA,ARHGAP10,PTN,ANO1,SHTN1,BICD2,PLXNB1,TFEB,MYOF,SULF2,CALD1,KRT19,TGM2,RAB32,UTRN,ARHGAP18,TPBG,DNAJC6,DHCR24,GSN,RILPL1,ANXA1,GATA3,AGRN,USP3,KRT18,PRTG,SMTNL2,LAMA1,RFLNA,DNAH17,WIPF1,LLGL2,TCF4,EPHB2,COLEC12,CRPPA,SUN2,MAST4,MYO18B,AAK1,DYSF,ACE2,CHD7,TNIK,CAST,MACROH2A1,PALLD,CEBPA,LYN,SPTBN2,SH2B2,KRT8,OBSCN,MARCKS,YAP1,DPF3,ANXA8L1,SMTN,FARP1,TCF7L2,HAVCR1,FIGNL2,EFNB2,GRHL2,S1PR2,HOXA13,GAN,NUAK2"
